Cell Class,Name,Creation Date,Description,Development,Directional Tuning,Hair Length,Number of Varicosities,Varicosity Surface Area,Reconstruction,Overview,Highlight,Cell,Inset
Integer,Text,Date,Text,Text,Integer,Text,Integer,Decimal,File,Image,Image,Image,Image
,,,Units will go in this row when supported; please do not modify the Yogo ID column.,,,,,,,,,,
3,S.3.10.1113,6/16/2006,short type 3 age 10 afferent slide 1113 varicosity data,instar_10,295,short,427,665.32,reconstructions/S.3.10.1113.asc,images/index/S.3.10.1113.jpg,images/highlight/S.3.10.1113.jpg,images/cell/S.3.10.1113.jpg,images/inset/S.3.10.1113.jpg
3,S.3.10.1112,6/16/2006,short type 3 age 10 afferent slide 1112 varicosity data,instar_10,295,short,211,399.87,reconstructions/S.3.10.1112.asc,images/index/S.3.10.1112.jpg,images/highlight/S.3.10.1112.jpg,images/cell/S.3.10.1112.jpg,images/inset/S.3.10.1112.jpg
3,S.3.10.1114,6/16/2006,short type 3 age 10 afferent slide 1114 varicosity data,instar_10,295,short,404,523.99,reconstructions/S.3.10.1114.asc,images/index/S.3.10.1114.jpg,images/highlight/S.3.10.1114.jpg,images/cell/S.3.10.1114.jpg,images/inset/S.3.10.1114.jpg
3,S.3.10.1115,6/16/2006,short type 3 age 10 afferent slide 1115 varicosity data,instar_10,295,short,317,594.29,reconstructions/S.3.10.1115.asc,images/index/S.3.10.1115.jpg,images/highlight/S.3.10.1115.jpg,images/cell/S.3.10.1115.jpg,images/inset/S.3.10.1115.jpg
4,S.4.10.1107,6/16/2006,short type 4 age 10 afferent slide 1107 varicosity data,instar_10,320,short,334,391.41,reconstructions/S.4.10.1107.asc,images/index/S.4.10.1107.jpg,images/highlight/S.4.10.1107.jpg,images/cell/S.4.10.1107.jpg,images/inset/S.4.10.1107.jpg
4,S.4.10.1118,6/16/2006,short type 4 age 10 afferent slide 1118 varicosity data,instar_10,320,short,432,1414.99,reconstructions/S.4.10.1118.asc,images/index/S.4.10.1118.jpg,images/highlight/S.4.10.1118.jpg,images/cell/S.4.10.1118.jpg,images/inset/S.4.10.1118.jpg
10,L.10.10.184,6/16/2006,long type 10 age 10 afferent slide 184 varicosity data,instar_10,297,long,738,3850.78,reconstructions/L.10.10.184.asc,images/index/L.10.10.184.jpg,images/highlight/L.10.10.184.jpg,images/cell/L.10.10.184.jpg,images/inset/L.10.10.184.jpg
4,S.4.10.1119,6/16/2006,short type 4 age 10 afferent slide 1119 varicosity data,instar_10,320,short,375,755.04,reconstructions/S.4.10.1119.asc,images/index/S.4.10.1119.jpg,images/highlight/S.4.10.1119.jpg,images/cell/S.4.10.1119.jpg,images/inset/S.4.10.1119.jpg
4,S.4.10.1120,6/16/2006,short type 4 age 10 afferent slide 1120 varicosity data,instar_10,320,short,1252,1576.31,reconstructions/S.4.10.1120.asc,images/index/S.4.10.1120.jpg,images/highlight/S.4.10.1120.jpg,images/cell/S.4.10.1120.jpg,images/inset/S.4.10.1120.jpg
4,S.4.10.1151,6/16/2006,short type 4 age 10 afferent slide 1151 varicosity data,instar_10,320,short,741,1382.75,reconstructions/S.4.10.1151.asc,images/index/S.4.10.1151.jpg,images/highlight/S.4.10.1151.jpg,images/cell/S.4.10.1151.jpg,images/inset/S.4.10.1151.jpg
4,S.4.10.2014,6/16/2006,short type 4 age 10 afferent slide 2014 varicosity data,instar_10,320,short,325,594.8,reconstructions/S.4.10.2014.asc,images/index/S.4.10.2014.jpg,images/highlight/S.4.10.2014.jpg,images/cell/S.4.10.2014.jpg,images/inset/S.4.10.2014.jpg
5,S.5.10.1121,6/16/2006,short type 5 age 10 afferent slide 1121 varicosity data,instar_10,30,short,781,1169.27,reconstructions/S.5.10.1121.asc,images/index/S.5.10.1121.jpg,images/highlight/S.5.10.1121.jpg,images/cell/S.5.10.1121.jpg,images/inset/S.5.10.1121.jpg
5,S.5.10.1122,6/16/2006,short type 5 age 10 afferent slide 1122 varicosity data,instar_10,30,short,342,1007.44,reconstructions/S.5.10.1122.asc,images/index/S.5.10.1122.jpg,images/highlight/S.5.10.1122.jpg,images/cell/S.5.10.1122.jpg,images/inset/S.5.10.1122.jpg
5,S.5.10.1123,6/16/2006,short type 5 age 10 afferent slide 1123 varicosity data,instar_10,30,short,224,692.35,reconstructions/S.5.10.1123.asc,images/index/S.5.10.1123.jpg,images/highlight/S.5.10.1123.jpg,images/cell/S.5.10.1123.jpg,images/inset/S.5.10.1123.jpg
5,S.5.10.1125,6/16/2006,short type 5 age 10 afferent slide 1125 varicosity data,instar_10,30,short,476,1321.23,reconstructions/S.5.10.1125.asc,images/index/S.5.10.1125.jpg,images/highlight/S.5.10.1125.jpg,images/cell/S.5.10.1125.jpg,images/inset/S.5.10.1125.jpg
6,S.6.10.1124,6/16/2006,short type 6 age 10 afferent slide 1124 varicosity data,instar_10,209,short,376,1035.68,reconstructions/S.6.10.1124.asc,images/index/S.6.10.1124.jpg,images/highlight/S.6.10.1124.jpg,images/cell/S.6.10.1124.jpg,images/inset/S.6.10.1124.jpg
6,S.6.10.1127,6/16/2006,short type 6 age 10 afferent slide 1127 varicosity data,instar_10,209,short,718,2123.39,reconstructions/S.6.10.1127.asc,images/index/S.6.10.1127.jpg,images/highlight/S.6.10.1127.jpg,images/cell/S.6.10.1127.jpg,images/inset/S.6.10.1127.jpg
7,S.7.10.1132,6/16/2006,short type 7 age 10 afferent slide 1132 varicosity data,instar_10,30,short,227,687.8,reconstructions/S.7.10.1132.asc,images/index/S.7.10.1132.jpg,images/highlight/S.7.10.1132.jpg,images/cell/S.7.10.1132.jpg,images/inset/S.7.10.1132.jpg
7,S.7.10.1134,6/16/2006,short type 7 age 10 afferent slide 1134 varicosity data,instar_10,30,short,378,789.03,reconstructions/S.7.10.1134.asc,images/index/S.7.10.1134.jpg,images/highlight/S.7.10.1134.jpg,images/cell/S.7.10.1134.jpg,images/inset/S.7.10.1134.jpg
7,S.7.10.1181,6/16/2006,short type 7 age 10 afferent slide 1181 varicosity data,instar_10,30,short,683,1616.99,reconstructions/S.7.10.1181.asc,images/index/S.7.10.1181.jpg,images/highlight/S.7.10.1181.jpg,images/cell/S.7.10.1181.jpg,images/inset/S.7.10.1181.jpg
8,S.8.10.1136,6/16/2006,short type 8 age 10 afferent slide 1136 varicosity data,instar_10,110,short,205,565.42,reconstructions/S.8.10.1136.asc,images/index/S.8.10.1136.jpg,images/highlight/S.8.10.1136.jpg,images/cell/S.8.10.1136.jpg,images/inset/S.8.10.1136.jpg
8,S.8.10.1137,6/16/2006,short type 8 age 10 afferent slide 1137 varicosity data,instar_10,110,short,283,861.47,reconstructions/S.8.10.1137.asc,images/index/S.8.10.1137.jpg,images/highlight/S.8.10.1137.jpg,images/cell/S.8.10.1137.jpg,images/inset/S.8.10.1137.jpg
8,S.8.10.1139,6/16/2006,short type 8 age 10 afferent slide 1139 varicosity data,instar_10,110,short,286,865.74,reconstructions/S.8.10.1139.asc,images/index/S.8.10.1139.jpg,images/highlight/S.8.10.1139.jpg,images/cell/S.8.10.1139.jpg,images/inset/S.8.10.1139.jpg
8,S.8.10.2033,6/16/2006,short type 8 age 10 afferent slide 2033 varicosity data,instar_10,110,short,444,627.34,reconstructions/S.8.10.2033.asc,images/index/S.8.10.2033.jpg,images/highlight/S.8.10.2033.jpg,images/cell/S.8.10.2033.jpg,images/inset/S.8.10.2033.jpg
9,S.9.10.1135,6/16/2006,short type 9 age 10 afferent slide 1135 varicosity data,instar_10,115,short,833,1558.89,reconstructions/S.9.10.1135.asc,images/index/S.9.10.1135.jpg,images/highlight/S.9.10.1135.jpg,images/cell/S.9.10.1135.jpg,images/inset/S.9.10.1135.jpg
9,S.9.10.1142,6/16/2006,short type 9 age 10 afferent slide 1142 varicosity data,instar_10,115,short,526,1258.52,reconstructions/S.9.10.1142.asc,images/index/S.9.10.1142.jpg,images/highlight/S.9.10.1142.jpg,images/cell/S.9.10.1142.jpg,images/inset/S.9.10.1142.jpg
9,S.9.10.1143,6/16/2006,short type 9 age 10 afferent slide 1143 varicosity data,instar_10,115,short,408,736.32,reconstructions/S.9.10.1143.asc,images/index/S.9.10.1143.jpg,images/highlight/S.9.10.1143.jpg,images/cell/S.9.10.1143.jpg,images/inset/S.9.10.1143.jpg
9,S.9.10.1144,6/16/2006,short type 9 age 10 afferent slide 1144 varicosity data,instar_10,115,short,572,1239.8,reconstructions/S.9.10.1144.asc,images/index/S.9.10.1144.jpg,images/highlight/S.9.10.1144.jpg,images/cell/S.9.10.1144.jpg,images/inset/S.9.10.1144.jpg
9,S.9.10.1145,6/16/2006,short type 9 age 10 afferent slide 1145 varicosity data,instar_10,115,short,313,935.71,reconstructions/S.9.10.1145.asc,images/index/S.9.10.1145.jpg,images/highlight/S.9.10.1145.jpg,images/cell/S.9.10.1145.jpg,images/inset/S.9.10.1145.jpg
9,S.9.10.1184,6/16/2006,short type 9 age 10 afferent slide 1184 varicosity data,instar_10,115,short,510,1172.89,reconstructions/S.9.10.1184.asc,images/index/S.9.10.1184.jpg,images/highlight/S.9.10.1184.jpg,images/cell/S.9.10.1184.jpg,images/inset/S.9.10.1184.jpg
10,S.10.10.2026,6/16/2006,short type 10 age 10 afferent slide 2026 varicosity data,instar_10,297,short,253,392.91,reconstructions/S.10.10.2026.asc,images/index/S.10.10.2026.jpg,images/highlight/S.10.10.2026.jpg,images/cell/S.10.10.2026.jpg,images/inset/S.10.10.2026.jpg
10,S.10.10.2029,6/16/2006,short type 10 age 10 afferent slide 2029 varicosity data,instar_10,297,short,389,480.35,reconstructions/S.10.10.2029.asc,images/index/S.10.10.2029.jpg,images/highlight/S.10.10.2029.jpg,images/cell/S.10.10.2029.jpg,images/inset/S.10.10.2029.jpg
10,S.10.10.2030,6/16/2006,short type 10 age 10 afferent slide 2030 varicosity data,instar_10,297,short,436,541.58,reconstructions/S.10.10.2030.asc,images/index/S.10.10.2030.jpg,images/highlight/S.10.10.2030.jpg,images/cell/S.10.10.2030.jpg,images/inset/S.10.10.2030.jpg
11,S.11.10.1152,6/16/2006,short type 11 age 10 afferent slide 1152 varicosity data,instar_10,28,short,666,1296.68,reconstructions/S.11.10.1152.asc,images/index/S.11.10.1152.jpg,images/highlight/S.11.10.1152.jpg,images/cell/S.11.10.1152.jpg,images/inset/S.11.10.1152.jpg
11,S.11.10.1153,6/16/2006,short type 11 age 10 afferent slide 1153 varicosity data,instar_10,28,short,748,1331.31,reconstructions/S.11.10.1153.asc,images/index/S.11.10.1153.jpg,images/highlight/S.11.10.1153.jpg,images/cell/S.11.10.1153.jpg,images/inset/S.11.10.1153.jpg
11,S.11.10.1155,6/16/2006,short type 11 age 10 afferent slide 1155 varicosity data,instar_10,28,short,356,709.76,reconstructions/S.11.10.1155.asc,images/index/S.11.10.1155.jpg,images/highlight/S.11.10.1155.jpg,images/cell/S.11.10.1155.jpg,images/inset/S.11.10.1155.jpg
6,M.6.10.911,6/19/2006,medium type 6 age 10 afferent slide 911 varicosity data,instar_10,209,medium,423,1994.0,reconstructions/M.6.10.911.asc,images/index/M.6.10.911.jpg,images/highlight/M.6.10.911.jpg,images/cell/M.6.10.911.jpg,images/inset/M.6.10.911.jpg
6,M.6.10.922,6/19/2006,medium type 6 age 10 afferent slide 922 varicosity data,instar_10,209,medium,484,2520.32,reconstructions/M.6.10.922.asc,images/index/M.6.10.922.jpg,images/highlight/M.6.10.922.jpg,images/cell/M.6.10.922.jpg,images/inset/M.6.10.922.jpg
4,S.4.10.2014,8/2/2006,mess,instar_10,320,short,325,594.8,reconstructions/S.4.10.2014.asc,images/index/S.4.10.2014.jpg,images/highlight/S.4.10.2014.jpg,images/cell/S.4.10.2014.jpg,images/inset/S.4.10.2014.jpg
