Yogo ID,Data value,Value accuracy,Local date time,Date time utc,Site,Variable,Offset value,Offset type,Censor code,Method,Source,Sample,Derived from,Quality control level
Internal Type,Decimal,Decimal,DateTime,DateTime,Integer,Integer,Decimal,Integer,Text,Integer,Integer,Integer,Integer,Integer
Please don't modify,,,,,,,,,,,,,,
